names,rSCP,lSCP,rMCP,lMCP,rICP,lICP
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac04/label/sub-campac04_ses-1_T1w,0.2660,0.2497,3.4188,3.8260,1.0813,1.1738
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac04/label/sub-campac04_ses-2_T1w,0.2553,0.2089,3.3618,3.7044,0.9910,1.1043
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac04/label/sub-campac04_ses-3_T1w,0.2452,0.2202,3.3429,3.6527,1.0398,1.1383
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac04/label/sub-campac04_ses-4_T1w,0.2279,0.2293,3.2555,3.6388,0.9325,1.1587
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac05/label/sub-campac05_ses-1_T1w,0.2824,0.2649,3.8261,4.1670,1.0938,1.2652
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac05/label/sub-campac05_ses-2_T1w,0.2945,0.2656,3.6819,4.1598,0.9915,1.2415
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac05/label/sub-campac05_ses-3_T1w,0.2756,0.2562,3.7618,4.0421,1.0912,1.2522
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac05/label/sub-campac05_ses-4_T1w,0.2680,0.2331,3.5768,3.9562,1.0275,1.1573
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac06/label/sub-campac06_ses-1_T1w,0.1967,0.2077,3.0605,3.4705,0.7955,0.9401
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac06/label/sub-campac06_ses-2_T1w,0.2010,0.1753,3.0502,3.3767,0.8325,0.8906
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac06/label/sub-campac06_ses-3_T1w,0.1891,0.1578,3.0386,3.2871,0.8083,0.8963
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac07/label/sub-campac07_ses-1_T1w,0.1923,0.1664,2.6382,2.7777,0.7882,0.9567
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac07/label/sub-campac07_ses-2_T1w,0.1882,0.1549,2.4309,2.7727,0.7513,0.9246
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac07/label/sub-campac07_ses-3_T1w,0.1852,0.1611,2.3594,2.6895,0.7411,0.8930
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac07/label/sub-campac07_ses-4_T1w,0.1702,0.1513,2.2511,2.5201,0.6578,0.7915
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac08/label/sub-campac08_ses-1_T1w,0.2596,0.2345,3.5127,3.7723,0.9179,1.2040
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac08/label/sub-campac08_ses-2_T1w,0.2310,0.2154,3.4839,3.8074,0.9245,1.1763
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac08/label/sub-campac08_ses-3_T1w,0.2465,0.2171,3.4604,3.8042,0.9132,1.1678
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac09/label/sub-campac09_ses-1_T1w,0.1873,0.1705,2.7959,3.0850,0.7414,0.9216
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac09/label/sub-campac09_ses-2_T1w,0.1740,0.1569,2.6643,2.9591,0.6726,0.9369
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac10/label/sub-campac10_ses-1_T1w,0.1867,0.1799,2.8051,3.1041,0.8131,0.9029
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac10/label/sub-campac10_ses-2_T1w,0.1825,0.1778,2.7856,2.9898,0.8040,0.9821
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac11/label/sub-campac11_ses-1_T1w,0.2405,0.2062,3.4968,3.8290,0.9795,1.1745
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac11/label/sub-campac11_ses-2_T1w,0.2358,0.2062,3.4700,3.7068,1.0097,1.1631
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac12/label/sub-campac12_ses-1_T1w,0.2331,0.2302,3.6594,4.0257,1.1391,1.2698
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac12/label/sub-campac12_ses-2_T1w,0.2226,0.2445,3.6600,3.8733,1.1152,1.2500
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac17/label/sub-campac17_ses-1_T1w,0.1641,0.1722,2.4855,2.7252,0.7738,0.8447
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac17/label/sub-campac17_ses-2_T1w,0.1669,0.1500,2.5302,2.7041,0.7697,0.8338
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac18/label/sub-campac18_ses-1_T1w,0.2876,0.2507,4.0772,4.6992,1.1204,1.4407
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac18/label/sub-campac18_ses-2_T1w,0.2990,0.2388,4.1607,4.5243,1.2291,1.3943
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac18/label/sub-campac18_ses-4_T1w,0.2801,0.2717,4.1083,4.5021,1.1688,1.3904
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac19/label/sub-campac19_ses-1_T1w,0.2807,0.2146,4.4844,4.7098,1.2745,1.3793
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac19/label/sub-campac19_ses-2_T1w,0.2708,0.2410,3.6730,3.9798,1.0012,1.2073
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac21/label/sub-campac21_ses-1_T1w,0.1690,0.1760,2.6333,2.8883,0.7534,0.9108
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac21/label/sub-campac21_ses-2_T1w,0.1814,0.1882,2.6469,2.9171,0.7948,0.9640
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac22/label/sub-campac22_ses-1_T1w,0.2227,0.2019,3.3557,3.7258,0.9109,1.1128
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac22/label/sub-campac22_ses-2_T1w,0.2477,0.1865,3.2474,3.6808,0.8998,1.1038
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac22/label/sub-campac22_ses-4_T1w,0.2159,0.1885,3.0506,3.4298,0.8484,0.9740
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac23/label/sub-campac23_ses-1_T1w,0.1779,0.1583,2.3698,2.6032,0.7224,0.8877
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac23/label/sub-campac23_ses-2_T1w,0.1840,0.1757,2.2927,2.5491,0.6891,0.8326
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac24/label/sub-campac24_ses-1_T1w,0.2272,0.2287,3.2287,3.6094,0.9006,1.0854
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac24/label/sub-campac24_ses-2_T1w,0.2311,0.2298,3.3198,3.5825,0.9642,1.0893
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac28/label/sub-campac28_ses-1_T1w,0.2856,0.2672,4.0304,4.2873,1.1798,1.2938
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac28/label/sub-campac28_ses-2_T1w,0.2637,0.2227,3.9346,4.2685,1.1133,1.2966
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac29/label/sub-campac29_ses-1_T1w,0.2822,0.2755,3.7432,4.0620,1.1722,1.3998
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac29/label/sub-campac29_ses-2_T1w,0.3016,0.2462,3.6425,4.0418,1.1180,1.4128
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac30/label/sub-campac30_ses-1_T1w,0.2613,0.2628,3.5635,3.8900,1.1227,1.2285
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac30/label/sub-campac30_ses-2_T1w,0.2594,0.2108,3.5801,3.9801,1.1476,1.2409
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac30/label/sub-campac30_ses-4_T1w,0.2517,0.2293,3.3585,3.8227,1.0791,1.1761
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac32/label/sub-campac32_ses-1_T1w,0.2385,0.1987,3.1521,3.4602,0.9148,1.0201
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac32/label/sub-campac32_ses-2_T1w,0.2343,0.2047,3.0991,3.3848,0.8902,1.0025
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac33/label/sub-campac33_ses-1_T1w,0.2215,0.1902,3.0335,3.2987,0.8846,1.0175
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac33/label/sub-campac33_ses-2_T1w,0.2067,0.1871,3.0074,3.2473,0.8641,0.9576
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac34/label/sub-campac34_ses-1_T1w,0.2123,0.2173,3.0936,3.4452,0.9349,1.0827
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac34/label/sub-campac34_ses-2_T1w,0.1988,0.1873,3.0355,3.4135,0.9351,1.0391
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac35/label/sub-campac35_ses-1_T1w,0.2395,0.2305,3.5223,3.7443,1.0850,1.1515
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac35/label/sub-campac35_ses-2_T1w,0.2591,0.2380,3.4583,3.7395,1.1140,1.1830
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac40/label/sub-campac40_ses-1_T1w,0.2591,0.2114,3.1726,3.4846,0.9532,1.1380
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac40/label/sub-campac40_ses-2_T1w,0.2459,0.2245,3.1326,3.4696,0.9488,1.1397
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac41/label/sub-campac41_ses-1_T1w,0.2555,0.2209,3.4810,3.8922,1.0189,1.1994
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac41/label/sub-campac41_ses-2_T1w,0.2550,0.2272,3.5136,3.8821,1.0239,1.2055
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac42/label/sub-campac42_ses-1_T1w,0.2976,0.2784,4.2945,4.7017,1.1692,1.4079
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac42/label/sub-campac42_ses-2_T1w,0.3133,0.2678,4.2218,4.6768,1.2040,1.3834
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac47/label/sub-campac47_ses-1_T1w,0.2279,0.1990,3.5466,3.8527,1.1078,1.1825
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac47/label/sub-campac47_ses-2_T1w,0.2508,0.2276,3.5457,3.8612,1.1020,1.1554
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac49/label/sub-campac49_ses-1_T1w,0.2657,0.2446,3.5823,3.8664,1.0714,1.2354
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac57/label/sub-campac57_ses-1_T1w,0.2476,0.2264,4.0723,4.2846,1.0656,1.1022
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-campac57/label/sub-campac57_ses-2_T1w,0.2626,0.2594,4.0613,4.5341,1.1033,1.2161
